NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
65,1,-8.2,0,0,1.579575417
65,2,-7.9,1.929,4.378,1.197809757
65,3,-7.8,1.667,2.353,1.59232948
65,4,-7.8,4.056,6.158,0.688408731
65,5,-7.8,3.085,5.95,0.801146873
65,6,-7.7,3.794,5.287,0.650969869
65,7,-7.7,3.986,5.744,0.68778398
65,8,-7.6,3.708,4.908,0.594319707
65,9,-7.5,4.261,6.203,0.855186208
66,1,-7.3,0,0,1.290792674
66,2,-7.3,4.039,6.969,1.518793959
66,3,-7.2,1.301,1.75,1.132417997
66,4,-7.1,3.805,6.623,1.457738412
66,5,-7,3.646,5.599,1.38560179
66,6,-6.8,3.027,5.029,1.432131529
66,7,-6.8,1.822,2.478,1.198199383
66,8,-6.7,1.832,2.663,1.375442636
66,9,-6.4,2.42,5.082,1.080421155
67,1,-8.1,0,0,1.294338029
67,2,-7.9,3.388,4.968,1.718270957
67,3,-7.8,3.825,6.582,1.089122228
67,4,-7.7,2.142,3.256,1.338365551
67,5,-7.6,2.385,4.223,1.357856829
67,6,-7.5,3.759,5.438,0.889242485
67,7,-7.4,4.208,6.482,1.457839515
67,8,-7.3,4.236,6.123,1.131925052
67,9,-7.3,4.941,7.454,1.375145779
68,1,-8.6,0,0,1.467955241
68,2,-8.6,2.08,4.946,1.041221619
68,3,-8.6,2.51,5.059,0.965536325
68,4,-8.5,1.36,1.581,1.461497863
68,5,-8.1,4.608,7.503,1.162071869
68,6,-7.7,4.559,7.517,1.411546442
68,7,-7.4,3.808,6.287,1.13149403
68,8,-7.4,5.035,7.651,1.313365581
68,9,-7.4,4.613,7.552,1.148979049
