NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
67,5,-7.7,1.798,3.682,1.585190807
67,6,-7.6,2.112,5.111,1.41885896
67,7,-7.5,3.569,5.289,1.555649707
67,8,-7.5,1.992,4.681,1.445201279
67,9,-7.4,4.106,6.118,1.161862747
68,1,-7.9,0,0,0.911477711
68,2,-7.9,4.003,6.402,1.187544352
68,3,-7.8,1.358,2.088,1.043669284
68,4,-7.7,3.1,6.321,1.273400535
68,5,-7.6,1.802,2.575,1.043195981
68,6,-7.5,3.289,6.359,1.262070272
68,7,-7.2,4.085,5.843,1.202983586
68,8,-7.2,4.265,7.262,1.232876448
68,9,-7.2,2.82,5.172,1.224756657
