NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
51,1,-8.1,0,0,1.094563362
51,2,-7.9,3.77,5.793,1.366925639
51,3,-7.3,2.297,5.143,1.261776247
51,4,-7.2,4.254,6.566,1.423104399
51,5,-7.2,1.846,4.89,0.938389049
51,6,-6.8,3.435,6.08,0.960651911
51,7,-6.7,4.934,7.461,1.250220306
51,8,-6.7,3.775,5.86,1.366958602
51,9,-6.5,3.911,5.718,1.260599864
52,1,-8,0,0,1.220139967
52,2,-7.8,1.323,1.825,1.487109999
52,3,-7.5,1.226,1.783,1.021566615
52,4,-7.4,3.405,4.916,1.575193908
52,5,-7.4,4.028,6.956,1.239181602
52,6,-7.2,2.242,4.931,1.249725571
52,7,-7.2,3.846,5.782,1.460141969
52,8,-7.1,4.137,7.245,1.564140649
52,9,-7,4.256,6.831,1.464963904
53,1,-9.1,0,0,1.20237496
53,2,-8.8,3.897,6.498,1.35703928
53,3,-8.6,1.253,2.051,1.553466897
53,4,-8.3,2.256,3.145,1.293533211
53,5,-8.3,3.891,7.407,1.531723388
53,6,-8.2,1.839,2.687,1.546362458
53,7,-7.9,3.231,5.913,1.401990782
53,8,-7.9,3.243,6.066,1.239762763
53,9,-7.6,3.419,6.002,1.333317013
54,1,-8.5,0,0,1.220497693
54,2,-8.3,3.41,4.986,1.133877668
54,3,-8.3,2.492,3.254,1.15838314
54,4,-8,1.675,2.244,1.016446987
54,5,-8,1.779,4.263,1.133191538
54,6,-7.9,4.059,6.194,1.01245711
54,7,-7.8,3.784,5.672,1.059507125
54,8,-7.8,3.329,5.348,1.135514993
54,9,-7.6,4.212,6.326,1.057360348
55,1,-7.9,0,0,1.227704882
55,2,-7.7,3.92,6.98,1.221192212
55,3,-7.7,3.779,6.689,1.261249747
55,4,-7.4,4.145,6.329,1.361549775
55,5,-7.3,4.16,6.816,1.289718562
55,6,-7.3,4.055,6.699,1.408671157
55,7,-7,2.846,3.927,1.275953596
55,8,-6.8,3.529,5.758,1.297106907
55,9,-6.8,4.276,7.362,1.461971275
56,1,-8.3,0,0,1.445356714
56,2,-7.9,4.59,6.667,1.207339276
56,3,-7.9,3.096,5.651,1.53513429
56,4,-7.8,5.116,7.019,0.961960923
56,5,-7.7,2.848,5.608,1.459150671
56,6,-7.6,4.163,6.829,1.422982953
56,7,-7.3,1.728,4.588,1.406260968
56,8,-7.2,4.377,7.195,1.877008763
56,9,-7.2,4.61,7.499,1.66676002
57,1,-8.2,0,0,1.210966749
57,2,-7.9,4.304,7.203,1.141297035
57,3,-7.5,4.587,7.359,1.445807353
57,4,-7.3,4.827,7.414,1.327382232
57,5,-7.1,3.964,6.059,1.009073613
57,6,-7.1,3.851,5.985,1.36359366
57,7,-6.9,3.288,5.299,1.476004027
57,8,-6.8,3.531,4.68,1.4639405
57,9,-6.8,2.791,4.098,1.414889719
58,1,-8.9,0,0,1.502835805
58,2,-8.8,3.821,6.64,1.227293084
58,3,-8.6,1.592,2.118,1.807278738
58,4,-8.4,1.725,2.542,1.615332411
58,5,-8.4,2.308,3.498,1.329600233
58,6,-8.3,3.672,7.495,1.778380274
58,7,-8.2,3.387,6.078,1.428487035
58,8,-8.2,4.395,6.48,1.82558863
58,9,-8.1,1.665,2.111,1.469995521
59,1,-8.5,0,0,1.202216409
59,2,-8.2,3.382,6.026,0.845995764
59,3,-7.9,2.628,5.282,0.99185696
59,4,-7.9,4.062,6.011,1.057965888
59,5,-7.7,4.352,6.695,1.265855556
59,6,-7.1,4.28,6.861,1.1257045
59,7,-6.9,3.506,6.199,1.084325871
59,8,-6.8,2.912,5.756,1.019492899
59,9,-6.6,3.758,6.045,1.277511804
60,1,-8,0,0,1.170938055
60,2,-7.6,1.261,1.785,1.383441648
60,3,-7.5,3.482,5.071,1.479106671
60,4,-7.5,4.022,7.026,0.703984953
60,5,-7.4,4.216,6.673,1.404213108
60,6,-7.3,4.425,6.992,1.196861071
